"","year","sector","lifetime_probability"
"899",82,"comm",0
"900",82,"agri",0
"901",82,"text",0
"902",82,"othe",0
"903",83,"tran",0
"904",83,"mach",0
"905",83,"pack",0
"906",83,"heal",0
"907",83,"buil",1.35e-06
"908",83,"elec",0
"909",83,"hous",0
"910",83,"comm",0
"911",83,"agri",0
"912",83,"text",0
"913",83,"othe",0
